                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6255,                 4.3039,                 4.2345,                0.00128,                0.17931,                0.00181,                0.00046,                 3.4637,                  4.439,                 4.1296,                  0.091,                  0.001,                  0.001
                      1,                 3.6866,                 4.1935,                 4.2196,                0.00133,                0.18513,                0.00168,                0.00047,                 3.4552,                 4.4019,                 4.1065,               0.081079,              0.0020792,              0.0020792
                      2,                 3.7348,                 4.0981,                 4.1676,                0.00136,                0.18914,                0.00176,                0.00046,                 3.4456,                 4.3869,                 4.0862,               0.071137,              0.0031366,              0.0031366
                      3,                 3.6876,                 4.1255,                 4.1466,                 0.0013,                0.17931,                0.00165,                0.00046,                 3.4392,                 4.3808,                 4.0693,               0.061172,              0.0041723,              0.0041723
                      4,                 3.5957,                 4.0846,                  4.122,                0.00107,                0.13891,                0.00148,                0.00039,                 3.4336,                 4.3717,                 4.0527,               0.051186,              0.0051862,              0.0051862
                      5,                 3.5879,                 4.0648,                 4.0767,                0.00119,                 0.1717,                0.00192,                0.00045,                 3.4307,                 4.3564,                 4.0373,               0.041178,              0.0061782,              0.0061782
                      6,                 3.5299,                 4.0514,                 4.0741,                0.00132,                0.18291,                0.00163,                0.00043,                 3.4284,                 4.3406,                 4.0255,               0.031149,              0.0071486,              0.0071486
                      7,                 3.5305,                 4.0339,                 4.0415,                0.00131,                0.18111,                0.00149,                 0.0004,                 3.4276,                 4.3213,                 4.0133,               0.021097,              0.0080971,              0.0080971
                      8,                 3.6101,                 3.9771,                 3.9804,                0.00127,                0.17889,                0.00153,                0.00042,                 3.4294,                 4.3097,                 4.0098,               0.011024,              0.0090238,              0.0090238
                      9,                 3.5707,                 4.0323,                 3.9506,                 0.0014,                 0.1955,                0.00183,                0.00049,                 3.4189,                 4.2951,                 4.0405,               0.009109,               0.009109,               0.009109
                     10,                 3.4491,                 3.9027,                 3.8851,                0.06169,                0.00581,                0.00875,                0.00201,                 3.3238,                 7.4554,                 4.4213,               0.009109,               0.009109,               0.009109
                     11,                 3.3827,                  3.875,                  3.851,                0.50676,                0.02158,                0.00266,                0.00073,                 3.3412,                 28.943,                 5.5563,                0.00901,                0.00901,                0.00901
                     12,                 3.4405,                 3.8662,                 3.7324,                0.51073,                0.01978,                0.00314,                0.00094,                 3.2647,                 10.861,                 6.4635,               0.008911,               0.008911,               0.008911
                     13,                  3.245,                 3.7999,                 3.6943,                0.50733,                0.04676,                0.00352,                0.00106,                 3.1792,                 31.522,                 8.0805,               0.008812,               0.008812,               0.008812
                     14,                 3.2292,                 3.8865,                 3.7148,                 0.0059,                0.32224,                 0.0042,                0.00095,                 3.1724,                 207.66,                 6.0997,               0.008713,               0.008713,               0.008713
                     15,                 3.1185,                 3.8682,                 3.6137,                0.00219,                0.26301,                0.00168,                0.00044,                 2.9889,                 60.446,                  6.057,               0.008614,               0.008614,               0.008614
                     16,                 3.0838,                 3.8448,                 3.5815,                0.50427,                0.02518,                 0.0026,                0.00088,                 2.9286,                 21.512,                 5.4245,               0.008515,               0.008515,               0.008515
                     17,                 3.1534,                 3.7639,                 3.5308,                0.50423,                0.10432,                0.00293,                0.00086,                 3.0107,                 65.894,                 5.6477,               0.008416,               0.008416,               0.008416
                     18,                 3.0157,                 3.7246,                 3.4862,                0.50549,                0.08453,                0.00482,                0.00159,                 2.9885,                 12.383,                 4.1653,               0.008317,               0.008317,               0.008317
                     19,                 3.1001,                 3.8557,                 3.5043,                 0.5055,                0.03417,                0.00236,                0.00062,                 3.0793,                 8.5778,                 4.0982,               0.008218,               0.008218,               0.008218
                     20,                 2.9326,                 3.6894,                 3.3836,                0.00734,                0.08633,                0.00594,                0.00173,                 3.0668,                 5.8781,                 4.0486,               0.008119,               0.008119,               0.008119
                     21,                 2.9424,                 3.7646,                 3.3796,                0.00399,                0.05216,                0.00558,                0.00181,                 2.8716,                 4.6378,                 3.6752,                0.00802,                0.00802,                0.00802
                     22,                 2.9209,                  3.684,                 3.3073,                0.00427,                0.47628,                0.00849,                0.00301,                 2.7791,                 4.4789,                 3.4144,               0.007921,               0.007921,               0.007921
                     23,                 2.9146,                 3.7297,                 3.2573,                0.03341,                0.02501,                0.00907,                0.00319,                  2.718,                 4.6848,                 3.3765,               0.007822,               0.007822,               0.007822
                     24,                 2.8859,                 3.6559,                  3.242,                0.06294,                0.06157,                0.01269,                0.00468,                 2.7169,                 4.8838,                 3.3988,               0.007723,               0.007723,               0.007723
                     25,                 2.7862,                 3.5989,                  3.167,                0.54634,                0.02518,                0.01256,                 0.0038,                 2.8765,                 4.2718,                 3.6792,               0.007624,               0.007624,               0.007624
                     26,                 2.8314,                 3.6143,                  3.197,                0.02348,                0.05036,                0.00954,                0.00309,                 2.8173,                 4.2313,                 3.7406,               0.007525,               0.007525,               0.007525
